epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
84,41999.7,0.16969,0.6987,0.91364,1.38146,2.19309e-05,2.19309e-05,2.19309e-05
85,42464.5,0.1737,0.7013,0.91104,1.40848,2.07132e-05,2.07132e-05,2.07132e-05
86,42929.6,0.17312,0.7013,0.91104,1.37913,1.94955e-05,1.94955e-05,1.94955e-05
87,43395.3,0.16402,0.6987,0.91299,1.381,1.82778e-05,1.82778e-05,1.82778e-05
88,43863.8,0.16536,0.7026,0.91169,1.32541,1.70601e-05,1.70601e-05,1.70601e-05
89,44334.3,0.16608,0.6987,0.91104,1.34436,1.58424e-05,1.58424e-05,1.58424e-05
90,44816.2,0.16413,0.7,0.91104,1.37565,1.46247e-05,1.46247e-05,1.46247e-05
91,45285.1,0.15578,0.69805,0.91104,1.35586,1.3407e-05,1.3407e-05,1.3407e-05
92,45761.2,0.17444,0.6987,0.91169,1.34503,1.21893e-05,1.21893e-05,1.21893e-05
93,46214.6,0.15594,0.7026,0.91234,1.38182,1.09716e-05,1.09716e-05,1.09716e-05
94,46680.5,0.16815,0.70065,0.91494,1.38325,9.7539e-06,9.7539e-06,9.7539e-06
95,47191.5,0.162,0.7026,0.91364,1.34184,8.5362e-06,8.5362e-06,8.5362e-06
96,47708.4,0.16767,0.70195,0.91558,1.33805,7.3185e-06,7.3185e-06,7.3185e-06
97,48226.9,0.15677,0.7039,0.91364,1.37641,6.1008e-06,6.1008e-06,6.1008e-06
98,48741.7,0.15418,0.70519,0.91234,1.34022,4.8831e-06,4.8831e-06,4.8831e-06
99,49242.5,0.1613,0.70455,0.91234,1.33925,3.6654e-06,3.6654e-06,3.6654e-06
100,49755.5,0.15539,0.7039,0.91104,1.37358,2.4477e-06,2.4477e-06,2.4477e-06
