name,parameters,memory_MB,mean,std,min,max
model.2.m.0.cv3.conv.weight,4096,0.015625,-0.007048834580928087,0.20953072607517242,-1.769922137260437,1.6456090211868286
model.2.m.0.cv3.conv.bias,64,0.000244140625,0.8895261287689209,5.190948009490967,-16.753978729248047,15.781949996948242
model.2.cv2.conv.weight,49152,0.1875,-0.003560909302905202,0.05688917636871338,-0.5592813491821289,0.6098096966743469
model.2.cv2.conv.bias,256,0.0009765625,-0.4562040865421295,1.261973261833191,-3.49990177154541,8.825425148010254
model.3.conv.weight,589824,2.25,-0.0006465895567089319,0.024968763813376427,-0.2883475422859192,0.28441381454467773
model.3.conv.bias,256,0.0009765625,-0.12914925813674927,1.2014596462249756,-2.6519978046417236,3.011855363845825
model.4.cv1.conv.weight,65536,0.25,-0.006120400503277779,0.10950042307376862,-1.1183598041534424,1.4004672765731812
model.4.cv1.conv.bias,256,0.0009765625,0.2894439995288849,1.7136873006820679,-5.041485786437988,5.843006134033203
onnx::Split_147,2,1.52587890625e-05,128.0,0.0,128.0,128.0
model.4.m.0.cv1.conv.weight,8192,0.03125,-0.0036389739252626896,0.06062839925289154,-0.5855698585510254,0.7759910821914673
model.4.m.0.cv1.conv.bias,64,0.000244140625,0.7188823223114014,1.0308705568313599,-2.4434266090393066,3.1476943492889404
model.4.m.0.cv2.conv.weight,8192,0.03125,-0.005453641060739756,0.11642804741859436,-0.7344827055931091,0.8040306568145752
model.4.m.0.cv2.conv.bias,64,0.000244140625,-1.0956059694290161,1.6048624515533447,-5.579967975616455,2.5307843685150146
model.4.m.0.m.0.cv1.conv.weight,36864,0.140625,-0.0019838002044707537,0.050757165998220444,-0.401720255613327,0.5330646634101868
model.4.m.0.m.0.cv1.conv.bias,64,0.000244140625,-0.2542016804218292,1.1269503831863403,-2.1626644134521484,2.3077380657196045
model.4.m.0.m.0.cv2.conv.weight,36864,0.140625,-0.0032371373381465673,0.06435656547546387,-0.5003194212913513,0.442996084690094
model.4.m.0.m.0.cv2.conv.bias,64,0.000244140625,0.2401924431324005,1.1804617643356323,-2.322950839996338,2.6312875747680664
model.4.m.0.m.1.cv1.conv.weight,36864,0.140625,-0.0018450240604579449,0.03881845250725746,-0.5389511585235596,0.49052175879478455
model.4.m.0.m.1.cv1.conv.bias,64,0.000244140625,-0.3502742648124695,1.2396777868270874,-2.491757869720459,3.3101861476898193
model.4.m.0.m.1.cv2.conv.weight,36864,0.140625,-0.0014697767328470945,0.07813762128353119,-0.5650238394737244,0.7001668214797974
model.4.m.0.m.1.cv2.conv.bias,64,0.000244140625,1.061615228652954,1.3095672130584717,-2.0243544578552246,4.718784809112549
model.4.m.0.cv3.conv.weight,16384,0.0625,-0.00296567240729928,0.1059536263346672,-0.9404646158218384,0.649569034576416
model.4.m.0.cv3.conv.bias,128,0.00048828125,0.10472603142261505,2.715486526489258,-6.853794097900391,10.40619945526123
model.4.cv2.conv.weight,196608,0.75,-0.0023957539815455675,0.05540091171860695,-0.8566380739212036,0.6160455346107483
model.4.cv2.conv.bias,512,0.001953125,-0.9550378322601318,1.1389493942260742,-7.181733131408691,1.9766106605529785
model.5.conv.weight,2359296,9.0,-0.000815947016235441,0.030054783448576927,-0.3608051836490631,0.5420802235603333
model.5.conv.bias,512,0.001953125,-0.5002629160881042,1.075825572013855,-3.78767728805542,2.423035144805908
model.6.cv1.conv.weight,262144,1.0,-0.004973899573087692,0.06695567071437836,-0.8751659393310547,0.8289783596992493
model.6.cv1.conv.bias,512,0.001953125,0.2000342160463333,0.9945309162139893,-3.9168143272399902,2.6387953758239746
onnx::Split_184,2,1.52587890625e-05,256.0,0.0,256.0,256.0
model.6.m.0.cv1.conv.weight,32768,0.125,-0.0059365215711295605,0.06431488692760468,-0.38552185893058777,0.7126078009605408
model.6.m.0.cv1.conv.bias,128,0.00048828125,0.15352195501327515,0.7435261607170105,-2.7885560989379883,1.9244204759597778
model.6.m.0.cv2.conv.weight,32768,0.125,-0.007317353971302509,0.1237700805068016,-0.7141372561454773,0.8894655704498291
model.6.m.0.cv2.conv.bias,128,0.00048828125,-0.39397484064102173,0.8722634315490723,-2.315089702606201,2.0298385620117188
model.6.m.0.m.0.cv1.conv.weight,147456,0.5625,-0.0027053365483880043,0.051194798201322556,-0.4879932701587677,0.596821129322052
model.6.m.0.m.0.cv1.conv.bias,128,0.00048828125,-0.6663303375244141,0.9973065853118896,-2.6476364135742188,2.5068092346191406
model.6.m.0.m.0.cv2.conv.weight,147456,0.5625,-0.0032905456610023975,0.05245066061615944,-0.643298864364624,0.5142404437065125
model.6.m.0.m.0.cv2.conv.bias,128,0.00048828125,-0.7264429330825806,0.6922918558120728,-2.363121509552002,1.520817518234253
model.6.m.0.m.1.cv1.conv.weight,147456,0.5625,-0.00225130096077919,0.03459776192903519,-0.273724764585495,0.3785645663738251
model.6.m.0.m.1.cv1.conv.bias,128,0.00048828125,-0.26263734698295593,0.7914203405380249,-2.5572917461395264,2.115623950958252
model.6.m.0.m.1.cv2.conv.weight,147456,0.5625,-0.0033877501264214516,0.07567670941352844,-0.5445391535758972,0.8788943290710449
model.6.m.0.m.1.cv2.conv.bias,128,0.00048828125,0.2357877492904663,1.3546940088272095,-2.830533504486084,5.125099182128906
model.6.m.0.cv3.conv.weight,65536,0.25,-0.00572477700188756,0.0741521492600441,-0.49944502115249634,0.7063930630683899
model.6.m.0.cv3.conv.bias,256,0.0009765625,0.3761528432369232,1.4238519668579102,-3.5918543338775635,4.281621932983398
model.6.cv2.conv.weight,393216,1.5,-0.0018215598538517952,0.04654713347554207,-0.5676876902580261,0.5649682283401489
model.6.cv2.conv.bias,512,0.001953125,-0.7039310336112976,0.6339061260223389,-3.5620768070220947,1.716821551322937
model.7.conv.weight,2359296,9.0,-0.0009253110038116574,0.03251912072300911,-0.37599286437034607,0.6018228530883789
model.7.conv.bias,512,0.001953125,-0.04131492227315903,1.1506011486053467,-3.1361465454101562,2.480712413787842
model.8.cv1.conv.weight,262144,1.0,-0.0033701215870678425,0.04975103214383125,-0.7079747915267944,0.5398229360580444
model.8.cv1.conv.bias,512,0.001953125,0.6543197631835938,0.9618805050849915,-4.651602745056152,3.4272589683532715
model.8.m.0.cv1.conv.weight,32768,0.125,-0.006495005451142788,0.07357773184776306,-0.5199332237243652,0.6952149271965027
model.8.m.0.cv1.conv.bias,128,0.00048828125,-0.014176201075315475,0.6561738848686218,-1.8760449886322021,1.6051115989685059
model.8.m.0.cv2.conv.weight,32768,0.125,-0.005522164981812239,0.1283431202173233,-0.6053060293197632,0.7282718420028687
model.8.m.0.cv2.conv.bias,128,0.00048828125,-0.16772274672985077,0.9245098829269409,-2.952962875366211,2.163147449493408
model.8.m.0.m.0.cv1.conv.weight,147456,0.5625,-0.004468353930860758,0.0658908486366272,-0.4832625091075897,0.6378657817840576
model.8.m.0.m.0.cv1.conv.bias,128,0.00048828125,-0.4982568025588989,1.1947318315505981,-3.0289342403411865,5.735013484954834
model.8.m.0.m.0.cv2.conv.weight,147456,0.5625,-0.0042650941759347916,0.04867281764745712,-0.39546358585357666,0.5561674237251282
model.8.m.0.m.0.cv2.conv.bias,128,0.00048828125,-0.19419005513191223,0.6243609189987183,-2.0744755268096924,1.1896069049835205
model.8.m.0.m.1.cv1.conv.weight,147456,0.5625,-0.002241151174530387,0.03779219090938568,-0.2868324816226959,0.344918429851532
model.8.m.0.m.1.cv1.conv.bias,128,0.00048828125,-0.6380224227905273,0.6950531601905823,-2.4172449111938477,1.4089837074279785
model.8.m.0.m.1.cv2.conv.weight,147456,0.5625,-0.004310474265366793,0.0755896344780922,-0.5383757948875427,0.5307304263114929
model.8.m.0.m.1.cv2.conv.bias,128,0.00048828125,0.6603715419769287,1.046622395515442,-2.634409189224243,4.114954471588135
model.8.m.0.cv3.conv.weight,65536,0.25,-0.004570992663502693,0.058158401399850845,-0.3598876893520355,0.3827391564846039
model.8.m.0.cv3.conv.bias,256,0.0009765625,0.18190625309944153,1.187786340713501,-4.045039176940918,3.377126455307007
model.8.cv2.conv.weight,393216,1.5,-0.002400260651484132,0.05231032148003578,-0.5799732804298401,0.5170817375183105
model.8.cv2.conv.bias,512,0.001953125,-0.3231549561023712,1.0049983263015747,-3.126926898956299,3.915020704269409
model.9.cv1.conv.weight,262144,1.0,-0.004690169356763363,0.08127432316541672,-0.8172518610954285,0.6892272233963013
model.9.cv1.conv.bias,512,0.001953125,-0.3379642367362976,0.992865800857544,-2.7216999530792236,4.662185192108154
model.9.m.0.attn.qkv.conv.weight,131072,0.5,-0.00044122018152847886,0.09946487843990326,-0.9398268461227417,1.27842116355896
model.9.m.0.attn.qkv.conv.bias,512,0.001953125,-0.024744126945734024,1.0111628770828247,-5.879301071166992,4.58825159072876
/model.9/m/m.0/attn/Constant_output_0,4,3.0517578125e-05,45.5,51.28596299183628,1.0,128.0
onnx::Split_274,3,2.288818359375e-05,42.666666666666664,15.084944665313014,32.0,64.0
/model.9/m/m.0/attn/Constant_1_output_0,1,3.814697265625e-06,0.1767766922712326,0.0,0.1767766922712326,0.1767766922712326
